cluster1	cluster2	cluster3	cluster4	cluster5	cluster6  
LOC100505736	NOC2LP2	MAPK6	HNRNPR		PLA2G4A
LOC100505912	NOD1	MAPK8IP2	HNRNPUL1		PLA2G6
LOC100505942	NOL12	MAPKBP1	HOGA1		PLCE1-AS1
LOC100506178	NOL4L	MAPRE2	HOMER3		PLCL2
LOC100506188	NOP53-AS1	MAPRE3	HOMER3-AS1		PLEKHA8
LOC100506358	NOS2P3	MARK2	HOMEZ		PLEKHB2
LOC100506476	NOSTRIN	MARK3	HOOK2		PLEKHN1
LOC100506497	NOX4	MARK4	HP09053		PLIN4
LOC100506551	NOX5	MAS1	HPAT5		PLK4
LOC100506585	NOXRED1	MAT2B	HPCAL1		PLPPR3
LOC100506675	NPAP1	MATN2	HPD		PLSCR2
LOC100506691	NPAS1	MBD4	HPN		PLVAP
LOC100507437	NPAS2	MBIP	HPS1		PM20D1
LOC100507516	NPHP1	MBL2	HRH3		PM20D2
LOC100507551	NPHP4	MBOAT2	HS1BP3		PMCH
LOC100507557	NPIPB2	MBTD1	HS3ST2		PMS2P1
LOC100507642	NPM2	MCC	HS3ST4		PMS2P4
LOC100996318	NPSR1	MCCC1	HS3ST5		PNISR
LOC101059948	NPSR1-AS1	MCF2	HS6ST2		PNMA1
LOC101926892	NR0B1	MCF2L	HSBP1		PNMT
LOC101926913	NR1H3	MCF2L2	HSCB		PNN
LOC101926935	NR2C2AP	MCM10	HSD11B2		PNPLA1
LOC101927040	NR2E3	MCM2	HSD17B10		PNRC1
LOC101927066	NR2F1	MCM3AP	HSD17B12		PNRC2
LOC101927136	NR2F2-AS1	MCM8	HSD17B14		POFUT2
LOC101927164	NRAP	MCMDC2	HSD17B4		POLDIP3
LOC101927178	NRIP3	MCOLN2	HSD17B7		POLE3
LOC101927188	NSDHL	MCPH1	HSD17B8		POLG
LOC101927248	NSFL1C	MCTP1	HSD3B7		POLH
LOC101927269	NSG1	MCTP2	HSF1		POLR1A
LOC101927284	NSMCE3	MDGA2	HSF2		POLR1C
LOC101927354	NSUN5	MDM1	HSH2D		POLR1D
LOC101927357	NT5C1B	MDM4	HSP90AB1		POLR2B
LOC101927378	NT5M	ME1	HSP90B1		POLR2C
LOC101927415	NTAN1	MEAF6	HSPA13		POLR2F
LOC101927447	NTF4	MEAT6	HSPA4		POLR2K
LOC101927495	NTN1	MECOM	HSPA9		POLR3F
LOC101927516	NTNG2	MED10	HSPB2		POLR3K
LOC101927623	NUB1	MED11	HSPBP1		POM121L9P
LOC101927730	NUDT7	MED12L	HSPD1		POMC
LOC101927787	NUF2	MED13L	HSPE1		POMP
LOC101927789	NUGGC	MED14	HSPE1-MOB4		POT1-AS1
LOC101927817	NUP62	MED15	HSPG2		POTEC
LOC101927824	NUP85	MED19	HTATIP2		POTEF
LOC101927851	NUTM1	MED20	HTR1A		POTEG
LOC101927877	NXPH1	MED21	HTR3A		POTEH
LOC101927915	NXT1	MED23	HTR7		POTEKP
LOC101927948	NYAP1	MED25	HTR7P1		POTEM
LOC101927989	OAS1	MED30	HTRA3		POU3F2
LOC101928008	OBSCN	MEF2A	HYAL2		POU3F3
LOC101928020	OCA2	MEGF9	HYI		POU4F3
LOC101928069	OCM	MEI4	IAPP		POU6F2-AS1
LOC101928123	ODF3L1	MEIKIN	IARS		PP2D1
LOC101928163	ODF3L2	MELK	IBA57		PPARD
LOC101928174	ODF4	MEMO1	ICAM3		PPEF2
LOC101928254	OGFR	METTL14	ICAM4		PPIAP30
LOC101928283	OGFR-AS1	METTL15	ID1		PPIL3
LOC101928372	OLFM1	METTL21A	ID3		PPM1D
LOC101928386	OLFML1	METTL21EP	IDH3B		PPM1M
LOC101928505	OMA1	METTL9	IDH3G		PPP1CC
LOC101928595	OR10D3	MEX3D	IDI2		PPP1R14D
LOC101928597	OR13C8	MFAP3L	IDNK		PPP1R15A
LOC101928605	OR14C36	MFAP3L.1	IDO1		PPP1R15B
LOC101928725	OR1E1	MFN1	IDS		PPP1R2
LOC101928730	OR1I1	MFSD10	IDUA		PPP1R26-AS1
LOC101928841	OR2AK2	MFSD14A	IFFO2		PPP1R2C
LOC101928855	OR2AT4	MFSD4A	IFI27L1		PPP1R2P2
LOC101928858	OR2K2	MGA	IFI27L2		PPP1R37
LOC101928943	OR2L2	MGAM2	IFI35		PPP1R3B
LOC101929130	OR2M2	MGAT4A	IFIH1		PPP1R3E
LOC101929165	OR2M3	MGAT4B	IFIT1		PPP1R42
LOC101929259	OR2T10	MGAT5B	IFIT3		PPP2CB
LOC101929268	OR4A47	MGC32805	IFIT5		PPP2R2D
LOC101929372	OR4D6	MGME1	IFITM2		PPP2R5E
LOC101929420	OR51F2	MGRN1	IFNLR1		PPP4R1L
LOC101929532	OR52E8	MGST2	IFRD1		PPP4R2
LOC101929538	OR52I2	MIA2	IFRD2		PPP4R3A
LOC101929563	OR52M1	MIA3	IFT27		PPP4R3B
LOC101929698	OR56A3	MIB1	IFT43		PPP4R3C
LOC101929748	OR6A2	MICALCL	IFT57		PPP6R3
LOC102546229	OR7E14P	MIER2	IFT80		PPTC7
LOC102606466	ORC4	MIGA1	IFT81		PQBP1
LOC102723809	OSBP2	MINDY4	IGF2BP2		PQLC2L
LOC102723968	OSBPL10	MINDY4B	IGFBP2		PRAM1
LOC102724156	OSBPL11	MINK1	IGFBP4		PRAME
LOC102724562	OSBPL5	MIR1282	IGFBP6		PRAMEF11
LOC102724691	OSCAR	MIR22	IGFBP7		PRAMEF12
LOC102724788	OSCP1	MIR3945HG	IGFLR1		PRAMEF13
LOC102724849	OSGEPL1	MIR4300HG	IGLON5		PRAMEF15
LOC102724908	OTOA	MIR4500HG	IGSF1		PRAMEF15.1
LOC102724927	OTOAP1	MIR4713HG	IGSF21		PRAMEF17
LOC102725021	OTP	MIR5006	IGSF8		PRAMEF17.1
LOC102725121	OXNAD1	MIR548A1HG	IGSF9B		PRAMEF18
LOC102725121.1	OXSM	MIR670HG	IKBIP		PRAMEF18.1
LOC105369209	P2RX4	MIS18A	IKBKE		PRAMEF19
LOC105369274	P2RX5	MITD1	IKBKG		PRAMEF2
LOC105369486	P4HA2-AS1	MITF	IKZF1		PRAMEF20
LOC105369507	PABPC1L	MIXL1	IKZF2		PRAMEF20.1
LOC105369595	PACRG-AS2	MKLN1	IL12A		PRAMEF22
LOC105369632	PACRGL	MKNK1	IL17RC		PRAMEF25
LOC105370792	PACS2	MKNK1-AS1	IL17RE		PRAMEF26
LOC105370943	PADI6	MKNK2	IL18		PRAMEF33
LOC105371045	PAF1	MKRN2	IL1A		PRAMEF33.1
LOC105371925	PAK4	MLH3	IL27RA		PRAMEF4
LOC105372383	PAK5	MLLT1	IL7R		PRAMEF5
LOC105372833	PAK6	MLLT11	ILDR1		PRAMEF5.1
LOC105373031	PANX1	MLLT3	ILF2		PRB2
LOC105373876	PANX3	MLX	ILF3		PRB3
LOC105376360	PAOX	MLXIP	ILF3-DT		PRDM6
LOC105377267	PAQR5	MLXIPL	ILK		PRKAA1
LOC105377342	PAQR7	MMAA	ILVBL		PRKN
LOC105377458	PARD3B	MMD	IMP3		PRKXP1
LOC105377651	PARP2	MMGT1	IMPACT		PRPF19
LOC105378292	PARVA	MMP28	IMPDH2		PRPF38A
LOC105378577	PASK	MMS22L	INAFM1		PRPF38B
LOC105379252	PATE4	MMUT	INF2		PRPF39
LOC105379252.1	PATL2	MND1	ING4		PRPF4B
LOC105747689	PAWR	MNS1	ING5		PRPH
LOC106699570	PBOV1	MNT	INHBE		PRPS1L1
LOC107001062	PBX1	MOB1A	INKA1		PRR20G
LOC107984507	PC	MOB3A	INKA2		PRR23A
LOC107984784	PCARE	MOB4	INKA2-AS1		PRR23B
LOC107984974	PCAT2	MOK	INO80B-WBP1		PRR23C
LOC107985939	PCAT29	MON2	INO80E		PRR23D1
LOC107986453	PCAT4	MOSPD2	INPP5A		PRR23D1.1
LOC110091776	PCBP1-AS1	MPG	INPP5J		PRR23D2
LOC110091777	PCCB	MPHOSPH8	INSL3		PRR23D2.1
LOC112267871	PCDHB1	MPIG6B	INSYN2B		PRRG1
LOC112268117	PCED1A	MPO	INTS10		PRRG4
LOC112543491	PCGF3	MPP4	INTS11		PRRX2
LOC152048	PCK1	MPP7	INTS13		PRSS30P
LOC158434	PCLO	MPZL3	INTS14		PRSS58
LOC202181	PCYOX1L	MRAS	INTS4		PRX
LOC220729	PDCD10	MRC1	INTU		PSKH2
LOC283194	PDCD4	MRE11	IPO4		PSMA3-AS1
LOC284379	PDCD4-AS1	MRPL18	IPO5		PSMB8-AS1
LOC284454	PDCD5	MRPL44	IPO9		PSMB9
LOC285097	PDCD6IPP2	MRTFA	IPO9-AS1		PSMC3IP
LOC285191	PDE4A	MRTFA-AS1	IPW		PSORS1C1
LOC285762	PDE6B	MRTFB	IQCC		PSPC1
LOC339298	PDE9A	MRVI1	IQCJ-SCHIP1		PSPN
LOC339539	PDF	MSC-AS1	IQCK		PSTK
LOC340090	PDGFRL	MSH3	IQSEC2		PTCD1
LOC341056	PDLIM2	MSH5	IRAK1		PTENP1
LOC389765	PDPK1	MSH5-SAPCD1	IRF2		PTER
LOC390877	PDPN	MSL2	IRF2BP1		PTF1A
LOC399975	PDRG1	MSL3	IRF3		PTGDS
LOC400655	PDXP	MSR1	IRS1		PTGER3
LOC401176	PDZD7	MSRA	IRS4		PTP4A1
LOC401312	PEAK3	MSX1	IRX2		PTPN22
LOC401557	PEBP4	MT1B	ISCA1		PTRH2
LOC403312	PECR	MT1DP	ISCA2		PUM3
LOC440292	PELI3	MT1E	ISG15		PURB
LOC440300	PER1	MT1M	ISG20		PUS3
LOC440434	PER4	MT1X	ISG20L2		PYGO1
LOC440570	PEX12	MT2A	ISLR		PYROXD1
LOC440570.1	PEX2	MTA3	IST1		PYY
LOC441086	PEX26	MTBP	ISY1-RAB43		PYY2
LOC441666	PFN4	MTERF3	ISYNA1		R3HCC1L
LOC494141	PGA3	MTF1	ITFG1		R3HDML
LOC541472	PGPEP1	MTF2	ITFG1-AS1		RAB11A
LOC574538	PGPEP1L	MTM1	ITFG2		RAB12
LOC641367	PHKA2-AS1	MTMR1	ITGA2		RAB1A
LOC641746	PICSAR	MTMR3	ITGA2B		RAB21
LOC642846	PIEZO1	MTMR4	ITGA3		RAB37
LOC643387	PIGP	MTMR6	ITGA5		RAB41
LOC643542	PIGU	MTMR7	ITGA6		RAB5A
LOC644285	PIGV	MTMR9	ITGA7		RAB6A
LOC645513	PIGY-DT	MTR	ITGB1		RAB6C
LOC646548	PIK3CD	MTRNR2L7	ITGB5		RAB8B
LOC646652	PIK3CG	MTSS1	ITGB8		RABGEF1
LOC646762	PINX1	MTSS2	ITIH3		RABIF
LOC649352	PITPNA	MTUS1	ITLN2		RACGAP1
LOC650226	PIWIL3	MTUS2	ITM2A		RAD51-AS1
LOC651337	PKIA-AS1	MTX3	ITM2B		RAD51AP2
LOC654780	PKN2-AS1	MUC16	ITPA		RAD51C
LOC728392	PKNOX1	MUC17	ITPR2		RAD52
LOC729080	PKNOX2	MUC20	ITPRIPL1		RADX
LOC729558	PKP4-AS1	MX2	IVD		RAI1
LOC729609	PLA2G12B	MXD1	IVNS1ABP		RALY-AS1
LOC729815	PLA2G2C	MXD4	JADE1		RAMAC
LOC729867	PLA2G4C	MXI1	JADE2		RANBP2
LOC729870	PLA2G4C-AS1	MYBL1	JAGN1		RAP1B
LOC730101	PLAAT1	MYCBP2	JAK3		RAP1GDS1
LOC730268	PLCB1	MYCBPAP	JAKMIP2		RAP2A
LOC730668	PLCG1-AS1	MYH15	JAKMIP2-AS1		RAPH1
LOC731157	PLCH2	MYH4	JMJD1C		RASA2
LOC91370	PLCZ1	MYLIP	JOSD1		RASSF6
LONP1	PLD5	MYLK	JPH1		RB1CC1
LOXL4	PLD6	MYNN	JPH4		RBAK-RBAKDN
LPAR5	PLEK2	MYO16	JPT1		RBBP6
LPCAT3	PLEKHA7	MYO18B	JPT2		RBBP9
LPGAT1	PLEKHG3	MYO1E	JRK		RBM14
LPIN1	PLEKHG5	MYO1H	JTB		RBM15
LRG1	PLEKHM2	MYO5A	KANK3		RBM24
LRIT2	PLEKHM3	MYO5B	KANSL1-AS1		RBM25
LRP2	PLIN5	MYO7A	KARS		RBM28
LRP4	PLPP4	MYO9A	KAT5		RBM34
LRPAP1	PLPP7	MYOCOS	KAT8		RBM39
LRPPRC	PLPPR1	MYPOP	KBTBD4		RBM44
LRRC14	PLRG1	MYRIP	KC6		RBM48
LRRC15	PLUT	MYT1	KCMF1		RBM7
LRRC18	PLXDC1	MYZAP	KCNAB1		RBMX
LRRC25	PMFBP1	N4BP1	KCND1		RBMY1A1
LRRC29	PML	NAA30	KCNE3		RBMY1A1.1
LRRC3	PMM1	NAALADL2	KCNE5		RBMY1A1.2
LRRC30	PNKD	NACC2	KCNG1		RBMY1A1.3
LRRC32	PNLDC1	NADK2	KCNH2		RBMY1B
LRRC37A	PNMA8A	NAGPA	KCNIP2		RBMY1B.1
LRRC37A11P	PNOC	NAIP	KCNJ1		RBMY1B.2
LRRC37A2	PNPLA2	NALCN	KCNJ2		RBMY1B.3
LRRC37A5P	POC1B-AS1	NALCN-AS1	KCNK17		RBMY1D
LRRC37A8P	POLE4	NARS2	KCNK7		RBMY1D.1
LRRC58	POLG2	NAV2	KCNMA1		RBMY1D.2
LRRC59	POLR1E	NAV3	KCNMB1		RBMY1D.3
LRRC61	POLR2J4	NBN	KCNMB2-AS1		RBMY1E
LRRC63	POMGNT1	NBPF1	KCNMB4		RBMY1E.1
LRRC74B	POMGNT2	NCAM1	KCNN3		RBMY1E.2
LRRC77P	POMZP3	NCAPD3	KCNQ2		RBMY1J
LRRFIP1	PON1	NCAPG2	KCNS3		RBMY1J.1
LRRK2	POP4	NCEH1	KCNT2		RBMY2FP
LRRN3	POTED	NCKAP5	KCP		RBP4
LRRTM1	POU4F2	NCKAP5L	KCTD11		RBP7
LRRTM2	POU6F2	NCOA1	KCTD14		RBPJ
LRTM1	PPCDC	NCOA2	KCTD17		RC3H2
LSAMP-AS1	PPFIA3	NCOA3	KCTD6		RCAN3AS
LSINCT5	PPFIBP2	NCOA5	KCTD7		RCVRN
LSM12	PPIL1	NCOA6	KCTD8		RD3
LTB4R	PPIL6	NCR1	KDELR1		REG1CP
LTBR	PPL	NCR3	KDELR2		RELB
LUCAT1	PPM1F	NDE1	KDELR3		RETSAT
LURAP1	PPM1H	NDFIP2	KDM2B		REV3L
LVRN	PPP1R16A	NDRG1	KDM4A-AS1		RFC3
LY6E-DT	PPP1R2B	NDRG3	KDM5D		RFK
LY6G6C	PPP1R36	NECAP2	KDM8		RFPL1
LY6G6E	PPP1R3C	NECTIN3	KDR		RFPL1S
LY75-CD302	PPP1R3F	NEDD1	KDSR		RFPL2
LY9	PPP2R2B	NEDD4L	KEAP1		RFWD3
LYN	PPP2R3C	NEFH	KEL		RFX1
LYNX1	PPP6R2	NEGR1	KHDRBS1		RGPD2
LYPD3	PRADC1	NEIL3	KHDRBS2		RGPD2.1
LYPD5	PRC1-AS1	NEK1	KHNYN		RGPD3
LYPD8	PRDM15	NEK2	KIAA0319L		RGPD4
LYRM7	PRDM16	NEK4	KIAA0391		RGPD5
LYZ	PRDM7	NEK5	KIAA0408		RGPD5.1
LZTS1	PREX1	NELFA	KIAA0754		RGPD5.2
MAB21L3	PRICKLE4	NELL1	KIAA1324		RGPD8
MAFA	PRKAR1B	NEMF	KIAA1522		RGPD8.1
MAFG	PRKAR2A-AS1	NEMP1	KIAA1586		RGPD8.2
MAFK	PRKCE	NEMP2	KIF17		RGS20
MAG	PRKCH	NEO1	KIF18B		RGS8
MAGEA11	PRKCQ	NETO2	KIF1A		RHOQ
MAGEB1	PRKCQ-AS1	NEU3	KIF22		RHOXF1
MAGEB6	PRKCZ	NFATC2	KIF2A		RHOXF1P1
MAGEC1	PRKD2	NFATC3	KIRREL1		RHOXF2
MAGEC2	PRKRIP1	NFE2L2	KIRREL1-IT1		RHOXF2.1
MAGEC3	PRL	NFIC	KIZ		RHOXF2B
MAGEE2	PRLHR	NFKBIA	KLC1		RHOXF2B.1
MAGI1	PRMT2	NFRKB	KLF1		RIC8A
MAGI3	PRMT7	NFXL1	KLF15		RIMS1
MAL	PROSER2-AS1	NHLRC3	KLF3-AS1		RIMS2
MALAT1	PRPF18	NHSL1	KLF7		RIMS4
MAMDC4	PRPF40B	NID2	KLHDC2		RIN1
MAML1	PRPH2	NIPA1	KLHDC3		RINT1
MAML3	PRPSAP1	NIPSNAP3A	KLHDC4		RIPPLY1
MAN1A2	PRR14	NKD1	KLHDC7A		RIPPLY2
MAN1C1	PRR15	NKX2-6	KLHDC8A		RIPPLY3
MAN2A1	PRR15L	NKX3-1	KLHDC8B		RIT1
MAN2B1	PRR29	NLRP1	KLHDC9		RLIM
MAN2B2	PRR29-AS1	NLRP13	KLHL10		RMND5B
MANBA	PRR5	NLRP4	KLHL13		RNA5S9
MAP2K2	PRR5L	NLRP9	KLHL22		RNASE10
MAP2K4	PRR7	NMD3	KLHL23		RNASE4
MAP3K12	PRSS21	NME7	KLHL3		RNASEH2B-AS1
MAP3K19	PRSS54	NMNAT3	KLHL4		RNF11
MAP3K2	PSCA	NOC3L	KLHL5		RNF113B
MAP3K8	PSD	NOL8	KLK1		RNF121
MAP4K1	PSD4	NOS1AP	KLK10		RNF125
MAPK14	PSEN1	NOTCH2NLR	KLKB1		RNF138
MAPK1IP1L	PSEN2	NPAS3	KLRA1P		RNF139
MAPK3	PSG1	NPAT	KMT2A		RNF139-AS1
MAPK8IP1P2	PSMA3	NPC1	KNDC1		RNF168
MAPK9	PSMA8	NPFF	KPNA5		RNF183
MARCKS	PSMG1	NPHP3-ACAD11	KRCC1		RNF19B
MARK1	PSMG2	NPL	KREMEN2		RNF2
MARVELD2	PSMG3-AS1	NPM3	KRT15		RNF227
MASP2	PSTPIP1	NPTN	KRT19		RNF4
MAST2	PTCH2	NR1H2	KRT86		RNF6
MATN1	PTGDR	NR1H4	KRTCAP2		RNFT1-DT
MAU2	PTGDR2	NR1I3	KRTCAP3		RNGTT
MAZ	PTGER4P2-CDK2AP2P2	NR2C1	KXD1		RNMT
MBD1	PTGFR	NR2E1	KYAT1		RNU1-1
MBD3	PTH1R	NR2F1-AS1	KYAT3		RNU5D-1
MBD6	PTH2	NR2F2	L1CAM		RNU7-1
MBNL2	PTH2R	NR3C1	L1TD1		RNVU1-19
MBNL3	PTK2B	NR3C2	L2HGDH		ROCK1
MC1R	PTPDC1	NR5A2	L3MBTL1		ROR2
MC2R	PTPN23	NRG1	L3MBTL2		RORB
MCEE	PTPN5	NRG1-IT1	L3MBTL4		RP1
MCOLN1	PTPN6	NRG4	LACTB2		RPA4
MCRIP2	PTPRA	NRIP1	LACTB2-AS1		RPF1
MCTS1	PTPRB	NRXN1	LAMA3		RPF2
MCUB	PTPRD-AS1	NRXN3	LAMB2		RPGRIP1
MCUR1	PTPRD-AS2	NSD2	LAMC2		RPGRIP1L
MDFI	PTPRE	NSF	LAMC3		RPL10L
MDGA1	PTPRT	NSL1	LAMP5		RPL23A
MDH2	PTRH1	NSMCE2	LAMTOR1		RPL23AP53
MDM2	PTTG2	NSMCE4A	LAMTOR4		RPL30
MED1	PVRIG	NSUN6	LANCL1-AS1		RPL32P3
MED18	PWP2	NT5C1A	LANCL3		RPL34-AS1
MEFV	PWWP3A	NT5DC3	LAP3		RPL36
MEG3	PXDNL	NTRK2	LAPTM4A		RPL36A-HNRNPH2
MEG8	PYGM	NTRK3	LAPTM4B		RPL3L
MEG9	PYM1	NTSR2	LARGE-AS1		RPL7
MEGF8	QRICH1	NUCB2	LARGE1		RPLP0P2
MEIS2	RAB11B-AS1	NUDCD1	LARP1		RPP14
MELTF	RAB11FIP3	NUDCD2	LARS		RPP30
MEOX2	RAB11FIP5	NUDT21	LAS1L		RPP38-DT
MEPE	RAB27A	NUMA1	LBHD1		RPPH1
MERTK	RAB36	NUMB	LBP		RPRD1A
MESP2	RAB3D	NUP107	LCA10		RPS13
MESTIT1	RAB40A	NUP133	LCK		RPS19
MET	RAB40B	NUP210L	LCN1		RPS25
METRNL	RAB40C	NUP214	LCN10		RPS27
METTL11B	RAB43	NUP35	LCN2		RPS27L
METTL2B	RAB44	NUP37	LCTL		RPS2P32
MFSD1	RAB6B	NUP43	LDAH		RPS6KA3
MFSD13B	RAB6C-AS1	NUP88	LDB2		RPS6KB1
MFSD4B	RABGGTA	NUP98	LDB3		RPSAP9
MGAT3	RABL2B	NUPL2	LDHB		RPTOR
MGAT4EP	RABL3	NWD2	LDLRAD2		RRM1
MGC16025	RACGAP1P	NXT2	LDOC1		RRM2
MGC4859	RAD1	NYAP2	LEFTY1		RRN3
MGLL	RAD51B	OAF	LEFTY2		RRN3P1
MIA-RAB4B	RAE1	OARD1	LEMD2		RRN3P2
MIB2	RAET1E-AS1	OAT	LENG8-AS1		RRP12
MICA-AS1	RAG1	OCLNP1	LEPR		RRP15
MICALL1	RAG2	OCM2	LEPROT		RRS1
MICOS10P1	RALB	OCRL	LETMD1		RRS1-AS1
MICOS13	RALGDS	ODC1	LFNG		RSBN1
MICU3	RALGPS1	ODF1	LGALS14		RSC1A1
MIDN	RAMP1	ODF2L	LGALS17A		RSL24D1
MIEF1	RAP1GAP	OFD1	LGALS3		RSRC2
MIEN1	RAP1GAP2	OGDHL	LGALS3BP		RSRP1
MIF	RARA	OGFOD1	LGALSL		RTCA-AS1
MIGA2	RARRES2	OGG1	LHCGR		RUFY2
MILR1	RASA4B	OIT3	LHFPL1		RUNX2
MIMT1	RASA4B.1	OLFM4	LHFPL6		RYBP
MINDY1	RASA4CP	OLIG1	LHPP		RYR1
MINDY2	RASA4DP	ONECUT1	LIG3		S100A7
MIPEP	RASAL3	OOEP	LIMD2		S100B
MIR1-1HG-AS1	RASGEF1C	OOSP1	LIME1		SAC3D1
MIR1248	RASGRF1	OOSP2	LIMS1		SACS-AS1
MIR133A1HG	RASGRF2	OOSP4B	LIMS3-LOC440895		SAG
MIR17HG	RASGRP1	OPALIN	LIMS3-LOC440895.1		SAMD7
MIR200CHG	RASGRP3	OPHN1	LIN28A		SAMD8
MIR2052HG	RASL10A	OPN1MW	LIN28B		SAP18
MIR205HG	RAX	OPN1MW.1	LIN28B-AS1		SAR1A
MIR210HG	RAX2	OPN1MW2	LIN7A		SAR1B
MIR3142HG	RBBP4	OPN1MW2.1	LINC00052		SATB2
MIR3150BHG	RBCK1	OPN1MW3	LINC00115		SATL1
MIR34AHG	RBFOX1	OPN1MW3.1	LINC00205		SAXO2
MIR3648-2	RBFOX3	OPRM1	LINC00237		SBDS
MIR3655	RBKS	OR1E2	LINC00239		SBDSP1
MIR3912	RBM14-RBM4	OR1E3	LINC00240		SBK3
MIR4422HG	RBM15-AS1	OR1L8	LINC00265		SBNO1
MIR497HG	RBM23	OR1N1	LINC00428		SCAF4
MIR548XHG	RBMS2	OR2AJ1	LINC00471		SCARNA12
MIR5689HG	RBMS3	OR2L13	LINC00472		SCARNA13
MIR600HG	RBMS3-AS3	OR2M1P	LINC00513		SCARNA15
MIR7-1	RBP5	OR2M4	LINC00517		SCARNA18
MIR924HG	RBPMS-AS1	OR2T29	LINC00519		SCARNA2
MIRLET7BHG	RCCD1	OR2T3	LINC00545		SCARNA6
MKI67	RDM1P5	OR2T4	LINC00551		SCARNA9L
MKX-AS1	REC114	OR2T7	LINC00622		SCAT2
MLANA	RECQL4	OR2W3	LINC00639		SCEL-AS1
MLIP-AS1	RECQL5	OR3A1	LINC00649		SCGB1A1
MLLT10	RELA	OR4F13P	LINC00662		SCGB2A1
MLLT10P1	RELT	OR4F15	LINC00664		SCLT1
MLLT6	RERGL	OR4F21	LINC00665		SCN1A-AS1
MLN	RESP18	OR4Q3	LINC00667		SCN4B
MMACHC	RETNLB	OR51A7	LINC00672		SCN7A
MMP14	RETREG2	OR51B6	LINC00678		SCNM1
MMP2	RFNG	OR51E1	LINC00683		SCP2D1
MMP20	RFTN1	OR51E2	LINC00698		SDCBP2-AS1
MMP24OS	RFX2	OR52E6	LINC00857		SDE2
MMP8	RFX3-AS1	OR52K1	LINC00862		SDHAF3
MMRN2	RGMA	OR56A5	LINC00867		SDHAP1
MNDA	RGMB	OR56B4	LINC00869		SDHAP2
MOB3B	RGS11	OR5A1	LINC00888		SDR16C5
MOGAT3	RGS14	OR5E1P	LINC00889		SEC14L4
MOGS	RGS19	OR5P2	LINC00899		SEC24B
MON1A	RGS22	OR5P3	LINC00908		SEC61A1
MON1B	RGS6	OR6M1	LINC00920		SEL1L
MORC4	RHBDF1	OR7D4	LINC00938		SELENOM
MOSMO	RHBDF2	OR7E24	LINC00941		SEMA6C
MPP1	RHBDL3	OR7E47P	LINC00960		SENP1
MPRIP	RHBG	OR8D4	LINC00963		SENP3-EIF4A1
MPV17L2	RHD	OR8G1	LINC01012		SENP5
MPZL1	RHPN1-AS1	OR8G5	LINC01013		SERF2
MRGPRE	RIBC2	OR9K2	LINC01060		SERHL
MRGPRF-AS1	RIIAD1	OR9Q1	LINC01069		SERINC1
MRGPRX1	RILPL1	ORC5	LINC01089		SERPINA3
MRI1	RIMBP2	ORMDL1	LINC01097		SERPINB7
MRM3	RIMKLA	OSBP	LINC01114		SERPIND1
MROH3P	RIN3	OSBPL1A	LINC01137		SERTAD1
MROH5	RING1	OSBPL2	LINC01138		SERTAD3
MROH6	RIOX1	OSBPL3	LINC01139		SETSIP
MROH8	RLN1	OSBPL9	LINC01145		SEZ6L
MRPL12	RLN2	OSMR	LINC01162		SF3B5
MRPL14	RMDN3	OSR1	LINC01173		SF3B6
MRPL15	RN7SK	OSR2	LINC01184		SFPQ
MRPL34	RNF113A	OSTF1	LINC01203		SFTPD
MRPL40	RNF114	OSTM1	LINC01210		SGCB
MRPL41	RNF122	OTOGL	LINC01234		SGK3
MRPL46	RNF144A	OTOP2	LINC01238		SGPP1
MRPL53	RNF148	OTOP3	LINC01273		SH2D1A
MRPL55	RNF152	OTUD3	LINC01299		SH2D3C
MRPL57	RNF185	OTUD4	LINC01300		SH3BGRL3
MRPS11	RNF187	OTUD5	LINC01311		SHCBP1L
MRPS12	RNF214	OTUD7A	LINC01315		SHISA3
MRPS18A	RNF220	OTUD7B	LINC01351		SHISAL2A
MRPS24	RNF32	OTULIN	LINC01361		SHQ1
MRPS25	RNF40	OTULINL	LINC01366		SHROOM1
MRPS26	ROBO3	OVCH1	LINC01376		SIAH1
MRPS30	ROPN1L	OVCH2	LINC01393		SIGLEC11
MRPS36	RORA-AS1	P2RX1	LINC01405		SIK2
MRPS5	RPA2	P2RX2	LINC01422		SIK3
MRRF	RPL13AP6	P3H2	LINC01424		SIKE1
MRS2	RPL23AP7	P3H2-AS1	LINC01426		SILC1
MS4A15	RPL23AP82	PABPC4	LINC01432		SIM1
MS4A18	RPP38	PABPN1L	LINC01456		SIRT1
MS4A6A	RPS10P7	PACRG	LINC01460		SKA2
MSANTD2	RPS18P9	PACS1	LINC01489		SKA3
MSH4	RPS26P11	PAEP	LINC01503		SLAIN1
MSI1	RPS6KA2-AS1	PAG1	LINC01521		SLAMF9
MSMO1	RPS6KL1	PAIP1	LINC01544		SLC11A1
MSS51	RPUSD2	PAIP2B	LINC01547		SLC12A6
MST1L	RPUSD4	PAK1IP1	LINC01550		SLC16A1
MSTO1	RRP7BP	PAK2	LINC01571		SLC16A6
MSX2	RSPH14	PALB2	LINC01578		SLC16A9
MT1G	RSPH9	PALLD	LINC01607		SLC17A2
MT1H	RTEL1	PALM2	LINC01637		SLC17A7
MT1JP	RTL10	PALM2-AKAP2	LINC01770		SLC1A4
MT1L	RUNDC3A	PAMR1	LINC01771		SLC22A6
MTA2	RUSC2	PAN2	LINC01776		SLC24A1
